,"Page ID",Class,Abstract,ServiceType,TrajectID,Jaar,VlocaSessie,Draaiboek,Deliverable,Actoren,Organisatie,Organisaties,Standaard,Status,SmartCityDomein,SmartCityIndicator,Beleidsthema,Initiatief,InitiatiefLink,Website,VlocaTraject,SessieType,ArchitectuurComponent,ArchitectuurBouwlaag,TypeDeliverable,TypeNieuws,Datum,Tijd,Locatie,Versie
"Context Information",273,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coock Open Stad",350,Organisatie,,,,,,,,,,,,,,,,,,Https://www.imeccityofthings.be/nl/projecten/open-stad,,,,,,,,,,
"Coock Open Stad/Building trust and value in data ecosystems",651,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coock Open Stad/Connecting and storing sensor data",429,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coock Open Stad/Connecting, storing and publishing sensor data",431,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coock Open Stad/Healthy Indoor Quality of Living",480,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coock Open Stad/IoT and Air Quality in Cities part 1",540,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coock Open Stad/IoT and Air Quality in Cities part 2",541,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coock Open Stad/Learnings from international and local smart city initiatives",433,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coock Open Stad/Mobile environmental sensing",624,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coock Open Stad/Open City and its Citizens",430,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coock Open Stad/Publishing and using sensor data as linked open data",432,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coock Open Stad/Smart Towards a high-quality living environment",428,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross-Domain,267,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross-cutting,225,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAKS 2.0 – Data in Kleine Steden","1,715",Initiatief,,,,,,,,,"Gemeente Oostkamp",,,,,,,"City of Things 2022",,,,,,,,,,,,
DATA-first,228,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VlocaTraject:DINA: Dienstverlening via integratie naadloos aanbieden","1,280",VlocaTraject,,Traject,,2022,,,,,"Stad Leuven",,,Geregistreerd,"Smart Government",,,"Gemeente zonder gemeentehuis",,,,,,,,,,,,
"DS- Deense standaarden",481,Organisatie,,,,,,,,,,,,,,,,,,Https://www.ds.dk/en,,,,,,,,,,
DUET,"1,113",Initiatief,,,,,,,,,,,,,,,,,,Https://www.digitalurbantwins.com/,,,,,,,,,,
"ArchitectuurComponent:Data Analytics",968,ArchitectuurComponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VlocaTraject:Data Broker","1,039",VlocaTraject,,Traject,,2021,,,,,"IMEC,Stad Antwerpen,Stad Gent,Stad Roeselare",VLAIO,,"In co-creatie","Smart Government",,,"City of Things",,,,,,,,,,,,
"VlocaSessie:Data Broker Workshop 1","1,040",VlocaSessie,,,,,,,,,,,,,,,,,,,"VlocaTraject:Data Broker","Business werkgroep",,,,,"3 February 2021",,,
"VlocaSessie:Data Broker Workshop 2","1,041",VlocaSessie,,,,,,,,,,,,,,,,,,,"VlocaTraject:Data Broker","Functionele werkgroep",,,,,"3 March 2021",,,
"ArchitectuurBouwlaag:Data Capture",953,ArchitectuurBouwlaag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArchitectuurComponent:Data Catalog",970,ArchitectuurComponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Formaat",529,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Governance",726,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deliverable:Data Governance Model","1,529",Deliverable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArchitectuurComponent:Data Lake(house)",971,ArchitectuurComponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Lineage",543,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
